"School Year","Division Number","Division Name","Subject","Race","Gender","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 3","SOL","English Reading","37","38","3","75","78","47.44","48.72","3.85","96.15","493"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 4","SOL","English Reading","33","28","8","61","69","47.83","40.58","11.59","88.41","488"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 5","SOL","English Reading","37","28","6","65","71","52.11","39.44","8.45","91.55","493"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 6","SOL","English Reading","32","35","7","67","74","43.24","47.30","9.46","90.54","487"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 7","SOL","English Reading","44","34","3","78","81","54.32","41.98","3.70","96.30","499"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 8","SOL","English Reading","32","44","10","76","86","37.21","51.16","11.63","88.37","472"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 3","SOL","English Reading","22","33","15","55","70","31.43","47.14","21.43","78.57","461"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 4","SOL","English Reading","39","44","10","83","93","41.94","47.31","10.75","89.25","478"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 5","SOL","English Reading","35","35","4","70","74","47.30","47.30","5.41","94.59","498"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 6","SOL","English Reading","40","38","6","78","84","47.62","45.24","7.14","92.86","491"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 7","SOL","English Reading","40","41","6","81","87","45.98","47.13","6.90","93.10","485"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 8","SOL","English Reading","19","61","18","80","98","19.39","62.24","18.37","81.63","447"
"2005-2006","2","Albemarle County","English:Reading","White, not of Hispanic origin","F","Grade 3","SOL","English Reading","167","119","30","286","316","52.85","37.66","9.49","90.51","493"
