School Year,Division Number,Division Name,Subject,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2005-2006,1,Accomack County ,Mathematics,Grade 3,SOL,Mathematics,149,142,18,291,309,48.22,45.95,5.83,94.17,494
2005-2006,1,Accomack County ,Mathematics,Grade 4,SOL,Mathematics,104,179,55,283,338,30.77,52.96,16.27,83.73,465
2005-2006,1,Accomack County ,Mathematics,Grade 5,SOL,Mathematics,157,122,56,279,335,46.87,36.42,16.72,83.28,485
2005-2006,1,Accomack County ,Mathematics,Grade 6,SOL,Mathematics,43,129,153,172,325,13.23,39.69,47.08,52.92,406
2005-2006,1,Accomack County ,Mathematics,Grade 7,SOL,Mathematics,49,131,203,180,383,12.79,34.2,53,47,397
2005-2006,1,Accomack County ,Mathematics,Grade 8,SOL,Mathematics,112,178,112,290,402,27.86,44.28,27.86,72.14,445
2005-2006,2,Albemarle County ,Mathematics,Grade 3,SOL,Mathematics,493,275,77,768,845,58.34,32.54,9.11,90.89,505
2005-2006,2,Albemarle County ,Mathematics,Grade 4,SOL,Mathematics,358,364,129,722,851,42.07,42.77,15.16,84.84,476
2005-2006,2,Albemarle County ,Mathematics,Grade 5,SOL,Mathematics,459,266,130,725,855,53.68,31.11,15.2,84.8,495
2005-2006,2,Albemarle County ,Mathematics,Grade 6,SOL,Mathematics,150,296,319,446,765,19.61,38.69,41.7,58.3,415
2005-2006,2,Albemarle County ,Mathematics,Grade 7,SOL,Mathematics,19,129,320,148,468,4.06,27.56,68.38,31.62,365
2005-2006,2,Albemarle County ,Mathematics,Grade 8,SOL,Mathematics,848,510,151,"1,358","1,509",56.2,33.8,10.01,89.99,499
2005-2006,101,Alexandria City ,Mathematics,Grade 3,SOL,Mathematics,362,320,89,682,771,46.95,41.5,11.54,88.46,486
2005-2006,101,Alexandria City ,Mathematics,Grade 4,SOL,Mathematics,207,350,188,557,745,27.79,46.98,25.23,74.77,446
