"School Year","Division Number","Division Name","Subject","Race","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","59","71","18","130","148","39.86","47.97","12.16","87.84","478"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","72","72","18","144","162","44.44","44.44","11.11","88.89","483"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","72","64","10","136","146","49.32","43.84","6.85","93.15","496"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","72","74","13","146","159","45.28","46.54","8.18","91.82","489"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","84","75","9","159","168","50.00","44.64","5.36","94.64","492"
"2005-2006","1","Accomack County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","51","105","28","156","184","27.72","57.07","15.22","84.78","458"
"2005-2006","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","342","261","64","603","667","51.27","39.13","9.60","90.40","491"
"2005-2006","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","384","247","33","631","664","57.83","37.20","4.97","95.03","503"
"2005-2006","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","426","219","33","645","678","62.83","32.30","4.87","95.13","512"
"2005-2006","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","424","252","53","676","729","58.16","34.57","7.27","92.73","506"
"2005-2006","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","413","253","61","666","727","56.81","34.80","8.39","91.61","501"
"2005-2006","2","Albemarle County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","330","297","83","627","710","46.48","41.83","11.69","88.31","483"
"2005-2006","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","125","43","15","168","183","68.31","23.50","8.20","91.80","515"
"2005-2006","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","121","50","8","171","179","67.60","27.93","4.47","95.53","515"
"2005-2006","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","123","43","5","166","171","71.93","25.15","2.92","97.08","528"
"2005-2006","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","95","41","8","136","144","65.97","28.47","5.56","94.44","517"
"2005-2006","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","90","50","11","140","151","59.60","33.11","7.28","92.72","504"
"2005-2006","101","Alexandria City","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","88","58","15","146","161","54.66","36.02","9.32","90.68","490"
